Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	GOSlim GOA Accession(s)	GOSlim GOA Description	HGNC symbol	Gene type
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005829	cytosol	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005886	plasma membrane	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005737	cytoplasm	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000215547	31257664	31259632	1	GO:0006950	response to stress	DEFB115	protein_coding
ENSG00000215547	31257664	31259632	1	GO:0005623	cell	DEFB115	protein_coding
ENSG00000215547	31257664	31259632	1	GO:0005576	extracellular region	DEFB115	protein_coding
ENSG00000215547	31257664	31259632	1	GO:0005575	cellular_component	DEFB115	protein_coding
ENSG00000215547	31257664	31259632	1	GO:0002376	immune system process	DEFB115	protein_coding
ENSG00000215547	31257664	31259632	1	GO:0008150	biological_process	DEFB115	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0005575	cellular_component	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0005576	extracellular region	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0005622	intracellular	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0005623	cell	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0005615	extracellular space	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0031410	cytoplasmic vesicle	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0043226	organelle	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0006950	response to stress	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0042592	homeostatic process	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0022607	cellular component assembly	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0050877	nervous system process	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0048856	anatomical structure development	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0007267	cell-cell signaling	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0007165	signal transduction	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0005737	cytoplasm	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0000003	reproduction	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0008150	biological_process	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0003674	molecular_function	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0003013	circulatory system process	OXT	protein_coding
ENSG00000101405	3071620	3072517	1	GO:0006810	transport	OXT	protein_coding
ENSG00000183798	41359966	41366827	-1	GO:0005576	extracellular region	EMILIN3	protein_coding
ENSG00000183798	41359966	41366827	-1	GO:0005578	proteinaceous extracellular matrix	EMILIN3	protein_coding
ENSG00000183798	41359966	41366827	-1	GO:0005575	cellular_component	EMILIN3	protein_coding
ENSG00000183798	41359966	41366827	-1	GO:0005623	cell	EMILIN3	protein_coding
ENSG00000183798	41359966	41366827	-1	GO:0005622	intracellular	EMILIN3	protein_coding
ENSG00000183798	41359966	41366827	-1	GO:0005737	cytoplasm	EMILIN3	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005737	cytoplasm	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005829	cytosol	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005739	mitochondrion	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043226	organelle	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0051186	cofactor metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0006629	lipid metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0008150	biological_process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0044281	small molecule metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0009058	biosynthetic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0034641	cellular nitrogen compound metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0003674	molecular_function	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005622	intracellular	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005623	cell	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0016301	kinase activity	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005575	cellular_component	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043167	ion binding	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0003674	molecular_function	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043167	ion binding	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0016301	kinase activity	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0051186	cofactor metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0034641	cellular nitrogen compound metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0008150	biological_process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0044281	small molecule metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0009058	biosynthetic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005575	cellular_component	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043167	ion binding	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005623	cell	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005622	intracellular	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0016301	kinase activity	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0000003	reproduction	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0008150	biological_process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0003674	molecular_function	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0030154	cell differentiation	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0048856	anatomical structure development	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0006629	lipid metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0051186	cofactor metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005737	cytoplasm	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005739	mitochondrion	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0006091	generation of precursor metabolites and energy	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0034641	cellular nitrogen compound metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0009058	biosynthetic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0044281	small molecule metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0007005	mitochondrion organization	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043226	organelle	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005829	cytosol	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0051186	cofactor metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0006629	lipid metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005737	cytoplasm	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005829	cytosol	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005739	mitochondrion	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043226	organelle	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0008150	biological_process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0044281	small molecule metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0034641	cellular nitrogen compound metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0009058	biosynthetic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0003674	molecular_function	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005575	cellular_component	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005622	intracellular	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0043167	ion binding	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0005623	cell	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0016301	kinase activity	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0008150	biological_process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0044281	small molecule metabolic process	PANK2	protein_coding
ENSG00000125779	3888839	3929882	1	GO:0009058	biosynthetic process	PANK2	protein_coding
